"covariate","mean","95% CI","species"
"Max temperature",14000,"2000-46000","Lazuli Bunting"
"Barren land",19418,"50-50000","Lazuli Bunting"
"Deciduous forest",27573,"1069-50000","Lazuli Bunting"
"Evergreen forest",10244,"50-47961","Lazuli Bunting"
"Mixed forest",10244,"50-47961","Lazuli Bunting"
"Shrub scrub",3108,"1069-31651","Lazuli Bunting"
"Grassland herbaceous",8205,"1069-45922","Lazuli Bunting"
"Pasture hay",29612,"1069-50000","Lazuli Bunting"
"Developed low intensity",31651,"2089-50000","Least Flycatcher"
"Cultivated crop",15341,"1069-47961","Least Flycatcher"
"Woody wetland",23496,"5147-50000","Least Flycatcher"
"Emergent wetland",23496,"1069-50000","Least Flycatcher"
"Ocean",15341,"1069-47961","Least Flycatcher"
"Lakes",15341,"50-47961","Least Flycatcher"
"Rivers",19418,"1069-50000","Least Flycatcher"
"Elevation",17380,"1069-50000","Least Flycatcher"
"Aspect",11263,"50-47961","Least Flycatcher"
"Slope",15341,"50-50000","Least Flycatcher"
"Precipitation",22000,"1000-50000","Least Flycatcher"
"Developed high intensity",27573,"2089-50000","Least Flycatcher"
"Max temperature",22000,"1000-50000","Least Flycatcher"
"Barren land",15341,"1069-50000","Least Flycatcher"
"Deciduous forest",50,"50-50","Least Flycatcher"
"Evergreen forest",17380,"50-47961","Least Flycatcher"
"Mixed forest",19418,"50-50000","Least Flycatcher"
"Shrub scrub",15341,"1069-50000","Least Flycatcher"
"Grassland herbaceous",19418,"50-50000","Least Flycatcher"
"Pasture hay",23496,"50-50000","Least Flycatcher"
"Developed low intensity",17380,"50-50000","Least Tern"
"Cultivated crop",29612,"1069-50000","Least Tern"
"Woody wetland",21457,"1069-50000","Least Tern"
"Emergent wetland",29612,"4128-50000","Least Tern"
"Ocean",8205,"50-47961","Least Tern"
"Lakes",11263,"1069-47961","Least Tern"
"Rivers",7186,"3108-27573","Least Tern"
"Elevation",19418,"50-50000","Least Tern"
"Aspect",8205,"1069-47961","Least Tern"
"Slope",4128,"1069-25535","Least Tern"
"Precipitation",20000,"1000-50000","Least Tern"
"Developed high intensity",15341,"50-47961","Least Tern"
"Max temperature",22000,"1000-50000","Least Tern"
"Barren land",17380,"1069-43884","Least Tern"
"Deciduous forest",13302,"50-47961","Least Tern"
"Evergreen forest",10244,"50-47961","Least Tern"
"Mixed forest",19418,"50-50000","Least Tern"
"Shrub scrub",19418,"50-50000","Least Tern"
"Grassland herbaceous",15341,"50-50000","Least Tern"
"Pasture hay",29612,"1069-50000","Least Tern"
"Developed low intensity",5147,"1069-45922","Lesser Goldfinch"
"Cultivated crop",33690,"4128-50000","Lesser Goldfinch"
"Woody wetland",39806,"10244-50000","Lesser Goldfinch"
"Emergent wetland",6166,"1069-47961","Lesser Goldfinch"
"Ocean",6166,"1069-45922","Lesser Goldfinch"
"Lakes",27573,"1069-47961","Lesser Goldfinch"
"Rivers",31651,"1069-50000","Lesser Goldfinch"
"Elevation",13302,"50-47961","Lesser Goldfinch"
"Aspect",37767,"2089-50000","Lesser Goldfinch"
"Slope",29612,"1069-50000","Lesser Goldfinch"
"Precipitation",18000,"1000-50000","Lesser Goldfinch"
"Developed high intensity",17380,"50-41845","Lesser Goldfinch"
"Max temperature",5000,"1000-18000","Lesser Goldfinch"
"Barren land",7186,"50-45922","Lesser Goldfinch"
"Deciduous forest",21457,"1069-50000","Lesser Goldfinch"
"Evergreen forest",3108,"1069-43884","Lesser Goldfinch"
"Mixed forest",11263,"1069-47961","Lesser Goldfinch"
"Shrub scrub",5147,"1069-39806","Lesser Goldfinch"
"Grassland herbaceous",15341,"1069-50000","Lesser Goldfinch"
"Pasture hay",21457,"50-47961","Lesser Goldfinch"
"Developed low intensity",23496,"1069-50000","Lesser Scaup"
"Cultivated crop",9224,"1069-47961","Lesser Scaup"
"Woody wetland",21457,"50-50000","Lesser Scaup"
"Emergent wetland",4128,"50-39806","Lesser Scaup"
"Ocean",19418,"50-50000","Lesser Scaup"
"Lakes",17380,"50-50000","Lesser Scaup"
"Rivers",21457,"50-47961","Lesser Scaup"
"Elevation",21457,"50-50000","Lesser Scaup"
"Aspect",17380,"50-50000","Lesser Scaup"
"Slope",17380,"1069-50000","Lesser Scaup"
"Precipitation",20000,"1000-50000","Lesser Scaup"
"Developed high intensity",17380,"50-50000","Lesser Scaup"
"Max temperature",22000,"1000-50000","Lesser Scaup"
"Barren land",23496,"1069-50000","Lesser Scaup"
"Deciduous forest",21457,"50-50000","Lesser Scaup"
"Evergreen forest",13302,"50-47961","Lesser Scaup"
"Mixed forest",21457,"1069-50000","Lesser Scaup"
"Shrub scrub",19418,"50-50000","Lesser Scaup"
"Grassland herbaceous",25535,"3108-50000","Lesser Scaup"
"Pasture hay",11263,"1069-47961","Lesser Scaup"
"Developed low intensity",21457,"50-50000","Limpkin"
"Cultivated crop",19418,"50-50000","Limpkin"
"Woody wetland",11263,"50-47961","Limpkin"
"Emergent wetland",23496,"50-50000","Limpkin"
"Ocean",17380,"50-50000","Limpkin"
"Lakes",23496,"50-50000","Limpkin"
"Rivers",13302,"50-50000","Limpkin"
"Elevation",19418,"50-50000","Limpkin"
"Aspect",9224,"50-47961","Limpkin"
"Slope",21457,"50-50000","Limpkin"
"Precipitation",22000,"1000-50000","Limpkin"
"Developed high intensity",17380,"50-50000","Limpkin"
"Max temperature",20000,"1000-50000","Limpkin"
"Barren land",21457,"6166-39806","Limpkin"
"Deciduous forest",21457,"1069-50000","Limpkin"
"Evergreen forest",17380,"50-50000","Limpkin"
"Mixed forest",15341,"1069-50000","Limpkin"
"Shrub scrub",17380,"50-50000","Limpkin"
"Grassland herbaceous",21457,"2089-50000","Limpkin"
"Pasture hay",31651,"5147-50000","Limpkin"
"Developed low intensity",17380,"1069-50000","Lincoln's Sparrow"
"Cultivated crop",25535,"1069-50000","Lincoln's Sparrow"
"Woody wetland",7186,"50-47961","Lincoln's Sparrow"
"Emergent wetland",10244,"50-47961","Lincoln's Sparrow"
"Ocean",21457,"1069-50000","Lincoln's Sparrow"
"Lakes",21457,"50-50000","Lincoln's Sparrow"
"Rivers",21457,"50-50000","Lincoln's Sparrow"
"Elevation",19418,"1069-50000","Lincoln's Sparrow"
"Aspect",19418,"50-50000","Lincoln's Sparrow"
"Slope",15341,"1069-47961","Lincoln's Sparrow"
"Precipitation",18000,"1000-50000","Lincoln's Sparrow"
"Developed high intensity",17380,"50-50000","Lincoln's Sparrow"
"Max temperature",10000,"1000-48000","Lincoln's Sparrow"
"Barren land",19418,"50-50000","Lincoln's Sparrow"
"Deciduous forest",15341,"1069-47961","Lincoln's Sparrow"
"Evergreen forest",9224,"1069-47961","Lincoln's Sparrow"
"Mixed forest",13302,"50-47961","Lincoln's Sparrow"
"Shrub scrub",23496,"50-50000","Lincoln's Sparrow"
"Grassland herbaceous",17380,"1069-50000","Lincoln's Sparrow"
"Pasture hay",17380,"50-47961","Lincoln's Sparrow"
"Developed low intensity",10244,"50-47961","Little Blue Heron"
"Cultivated crop",7186,"1069-45922","Little Blue Heron"
"Woody wetland",6166,"1069-45922","Little Blue Heron"
"Emergent wetland",8205,"50-43884","Little Blue Heron"
"Ocean",13302,"1069-47961","Little Blue Heron"
"Lakes",3108,"50-33690","Little Blue Heron"
"Rivers",35729,"9224-50000","Little Blue Heron"
"Elevation",15341,"50-47961","Little Blue Heron"
"Aspect",15341,"1069-50000","Little Blue Heron"
"Slope",13302,"1069-47961","Little Blue Heron"
"Precipitation",20000,"1000-50000","Little Blue Heron"
"Developed high intensity",15341,"50-47961","Little Blue Heron"
"Max temperature",20000,"1000-50000","Little Blue Heron"
"Barren land",19418,"1069-50000","Little Blue Heron"
"Deciduous forest",11263,"1069-47961","Little Blue Heron"
"Evergreen forest",13302,"50-47961","Little Blue Heron"
"Mixed forest",15341,"50-50000","Little Blue Heron"
"Shrub scrub",17380,"1069-50000","Little Blue Heron"
"Grassland herbaceous",17380,"1069-50000","Little Blue Heron"
"Pasture hay",39806,"2089-50000","Little Blue Heron"
"Developed low intensity",7186,"1069-43884","Loggerhead Shrike"
"Cultivated crop",25535,"1069-50000","Loggerhead Shrike"
"Woody wetland",21457,"1069-50000","Loggerhead Shrike"
"Emergent wetland",23496,"3108-47961","Loggerhead Shrike"
"Ocean",13302,"50-47961","Loggerhead Shrike"
"Lakes",21457,"1069-50000","Loggerhead Shrike"
"Rivers",13302,"1069-47961","Loggerhead Shrike"
"Elevation",17380,"50-50000","Loggerhead Shrike"
"Aspect",33690,"3108-50000","Loggerhead Shrike"
"Slope",21457,"50-50000","Loggerhead Shrike"
"Precipitation",20000,"1000-50000","Loggerhead Shrike"
"Developed high intensity",23496,"50-50000","Loggerhead Shrike"
"Max temperature",16000,"1000-50000","Loggerhead Shrike"
"Barren land",29612,"5147-50000","Loggerhead Shrike"
"Deciduous forest",21457,"1069-50000","Loggerhead Shrike"
"Evergreen forest",10244,"1069-47961","Loggerhead Shrike"
"Mixed forest",15341,"1069-47961","Loggerhead Shrike"
"Shrub scrub",10244,"50-45922","Loggerhead Shrike"
"Grassland herbaceous",3108,"1069-17380","Loggerhead Shrike"
"Pasture hay",10244,"1069-47961","Loggerhead Shrike"
"Developed low intensity",11263,"1069-47961","Long-billed Curlew"
"Cultivated crop",21457,"50-47961","Long-billed Curlew"
"Woody wetland",19418,"50-47961","Long-billed Curlew"
"Emergent wetland",11263,"1069-47961","Long-billed Curlew"
"Ocean",5147,"1069-43884","Long-billed Curlew"
"Lakes",19418,"1069-50000","Long-billed Curlew"
"Rivers",23496,"1069-50000","Long-billed Curlew"
"Elevation",17380,"50-50000","Long-billed Curlew"
"Aspect",29612,"2089-50000","Long-billed Curlew"
"Slope",6166,"1069-39806","Long-billed Curlew"
"Precipitation",20000,"1000-50000","Long-billed Curlew"
"Developed high intensity",21457,"50-50000","Long-billed Curlew"
"Max temperature",20000,"1000-50000","Long-billed Curlew"
"Barren land",19418,"1069-50000","Long-billed Curlew"
"Deciduous forest",19418,"50-50000","Long-billed Curlew"
"Evergreen forest",15341,"50-50000","Long-billed Curlew"
"Mixed forest",19418,"50-50000","Long-billed Curlew"
"Shrub scrub",23496,"2089-50000","Long-billed Curlew"
"Grassland herbaceous",7186,"1069-31651","Long-billed Curlew"
"Pasture hay",9224,"50-45922","Long-billed Curlew"
"Developed low intensity",7186,"1069-41845","Louisiana Waterthrush"
"Cultivated crop",19418,"50-50000","Louisiana Waterthrush"
"Woody wetland",6166,"50-29612","Louisiana Waterthrush"
"Emergent wetland",15341,"50-47961","Louisiana Waterthrush"
"Ocean",19418,"50-50000","Louisiana Waterthrush"
"Lakes",19418,"50-50000","Louisiana Waterthrush"
"Rivers",21457,"1069-50000","Louisiana Waterthrush"
"Elevation",25535,"50-50000","Louisiana Waterthrush"
"Aspect",17380,"1069-47961","Louisiana Waterthrush"
"Slope",10244,"50-47961","Louisiana Waterthrush"
"Precipitation",20000,"1000-50000","Louisiana Waterthrush"
"Developed high intensity",17380,"1069-47961","Louisiana Waterthrush"
"Max temperature",12000,"1000-48000","Louisiana Waterthrush"
"Barren land",23496,"50-50000","Louisiana Waterthrush"
"Deciduous forest",9224,"1069-43884","Louisiana Waterthrush"
"Evergreen forest",21457,"50-50000","Louisiana Waterthrush"
"Mixed forest",7186,"50-45922","Louisiana Waterthrush"
"Shrub scrub",17380,"50-50000","Louisiana Waterthrush"
"Grassland herbaceous",21457,"50-50000","Louisiana Waterthrush"
"Pasture hay",17380,"50-47961","Louisiana Waterthrush"
"Developed low intensity",19418,"1069-50000","Lucy's Warbler"
"Cultivated crop",19418,"50-50000","Lucy's Warbler"
"Woody wetland",50,"50-2089","Lucy's Warbler"
"Emergent wetland",23496,"2089-50000","Lucy's Warbler"
"Ocean",19418,"50-50000","Lucy's Warbler"
"Lakes",19418,"1069-47961","Lucy's Warbler"
"Rivers",15341,"50-50000","Lucy's Warbler"
"Elevation",11263,"50-47961","Lucy's Warbler"
"Aspect",10244,"1069-47961","Lucy's Warbler"
"Slope",29612,"6166-50000","Lucy's Warbler"
"Precipitation",24000,"2000-50000","Lucy's Warbler"
"Developed high intensity",19418,"50-50000","Lucy's Warbler"
"Max temperature",14000,"1000-50000","Lucy's Warbler"
"Barren land",23496,"50-50000","Lucy's Warbler"
"Deciduous forest",25535,"1069-50000","Lucy's Warbler"
"Evergreen forest",15341,"1069-50000","Lucy's Warbler"
"Mixed forest",19418,"50-50000","Lucy's Warbler"
"Shrub scrub",17380,"50-47961","Lucy's Warbler"
"Grassland herbaceous",19418,"50-50000","Lucy's Warbler"
"Pasture hay",19418,"1069-50000","Lucy's Warbler"
"Developed low intensity",2089,"1069-13302","MacGillivray's Warbler"
"Cultivated crop",17380,"1069-47961","MacGillivray's Warbler"
"Woody wetland",15341,"50-50000","MacGillivray's Warbler"
"Emergent wetland",19418,"50-50000","MacGillivray's Warbler"
"Ocean",19418,"50-50000","MacGillivray's Warbler"
"Lakes",15341,"50-50000","MacGillivray's Warbler"
"Rivers",13302,"50-47961","MacGillivray's Warbler"
"Elevation",9224,"50-47961","MacGillivray's Warbler"
"Aspect",27573,"3108-50000","MacGillivray's Warbler"
"Slope",5147,"1069-9224","MacGillivray's Warbler"
"Precipitation",10000,"1000-46000","MacGillivray's Warbler"
"Developed high intensity",13302,"50-47961","MacGillivray's Warbler"
"Max temperature",6000,"1000-34000","MacGillivray's Warbler"
"Barren land",15341,"50-50000","MacGillivray's Warbler"
"Deciduous forest",3108,"1069-23496","MacGillivray's Warbler"
"Evergreen forest",8205,"2089-25535","MacGillivray's Warbler"
"Mixed forest",15341,"50-47961","MacGillivray's Warbler"
"Shrub scrub",13302,"50-47961","MacGillivray's Warbler"
"Grassland herbaceous",23496,"3108-47961","MacGillivray's Warbler"
"Pasture hay",11263,"50-47961","MacGillivray's Warbler"
"Developed low intensity",21457,"2089-47961","Magnolia Warbler"
"Cultivated crop",17380,"1069-50000","Magnolia Warbler"
"Woody wetland",6166,"50-45922","Magnolia Warbler"
"Emergent wetland",27573,"1069-50000","Magnolia Warbler"
"Ocean",21457,"50-50000","Magnolia Warbler"
"Lakes",15341,"1069-43884","Magnolia Warbler"
"Rivers",19418,"1069-50000","Magnolia Warbler"
"Elevation",21457,"50-50000","Magnolia Warbler"
"Aspect",29612,"1069-50000","Magnolia Warbler"
"Slope",25535,"1069-50000","Magnolia Warbler"
"Precipitation",12000,"1000-48000","Magnolia Warbler"
"Developed high intensity",19418,"1069-50000","Magnolia Warbler"
"Max temperature",24000,"1000-50000","Magnolia Warbler"
"Barren land",21457,"2089-50000","Magnolia Warbler"
"Deciduous forest",23496,"4128-50000","Magnolia Warbler"
"Evergreen forest",50,"50-50","Magnolia Warbler"
"Mixed forest",35729,"5147-50000","Magnolia Warbler"
"Shrub scrub",8205,"4128-35729","Magnolia Warbler"
"Grassland herbaceous",25535,"2089-50000","Magnolia Warbler"
"Pasture hay",8205,"50-47961","Magnolia Warbler"
"Developed low intensity",50,"50-1069","Mallard"
"Cultivated crop",3108,"1069-41845","Mallard"
"Woody wetland",4128,"1069-23496","Mallard"
"Emergent wetland",50,"50-50","Mallard"
"Ocean",15341,"1069-50000","Mallard"
"Lakes",50,"50-1069","Mallard"
"Rivers",7186,"50-41845","Mallard"
"Elevation",21457,"50-50000","Mallard"
"Aspect",1069,"1069-1069","Mallard"
"Slope",50,"50-1069","Mallard"
"Precipitation",22000,"1000-50000","Mallard"
"Developed high intensity",8205,"1069-21457","Mallard"
"Max temperature",30000,"3000-50000","Mallard"
"Barren land",19418,"50-50000","Mallard"
"Deciduous forest",1069,"50-1069","Mallard"
"Evergreen forest",3108,"1069-8205","Mallard"
"Mixed forest",3108,"50-27573","Mallard"
"Shrub scrub",7186,"1069-45922","Mallard"
"Grassland herbaceous",9224,"50-47961","Mallard"
"Pasture hay",23496,"4128-47961","Mallard"
"Developed low intensity",15341,"1069-47961","Marbled Godwit"
"Cultivated crop",6166,"50-43884","Marbled Godwit"
"Woody wetland",17380,"50-50000","Marbled Godwit"
"Emergent wetland",8205,"1069-43884","Marbled Godwit"
"Ocean",17380,"1069-50000","Marbled Godwit"
"Lakes",21457,"1069-50000","Marbled Godwit"
"Rivers",15341,"50-50000","Marbled Godwit"
"Elevation",27573,"1069-50000","Marbled Godwit"
"Aspect",13302,"50-47961","Marbled Godwit"
"Slope",17380,"50-47961","Marbled Godwit"
"Precipitation",20000,"1000-50000","Marbled Godwit"
"Developed high intensity",17380,"50-50000","Marbled Godwit"
"Max temperature",22000,"1000-50000","Marbled Godwit"
"Barren land",19418,"50-50000","Marbled Godwit"
"Deciduous forest",19418,"50-50000","Marbled Godwit"
"Evergreen forest",15341,"50-47961","Marbled Godwit"
"Mixed forest",17380,"50-50000","Marbled Godwit"
"Shrub scrub",29612,"1069-50000","Marbled Godwit"
"Grassland herbaceous",27573,"1069-50000","Marbled Godwit"
"Pasture hay",25535,"50-50000","Marbled Godwit"
"Developed low intensity",7186,"50-47961","Marsh Wren"
"Cultivated crop",17380,"2089-47961","Marsh Wren"
"Woody wetland",31651,"50-50000","Marsh Wren"
"Emergent wetland",1069,"1069-1069","Marsh Wren"
"Ocean",19418,"1069-50000","Marsh Wren"
"Lakes",31651,"1069-50000","Marsh Wren"
"Rivers",13302,"3108-43884","Marsh Wren"
"Elevation",15341,"50-47961","Marsh Wren"
"Aspect",19418,"50-50000","Marsh Wren"
"Slope",7186,"50-45922","Marsh Wren"
"Precipitation",24000,"1000-50000","Marsh Wren"
"Developed high intensity",17380,"50-50000","Marsh Wren"
"Max temperature",22000,"2000-50000","Marsh Wren"
"Barren land",21457,"50-47961","Marsh Wren"
"Deciduous forest",5147,"50-37767","Marsh Wren"
"Evergreen forest",15341,"1069-47961","Marsh Wren"
"Mixed forest",17380,"50-47961","Marsh Wren"
"Shrub scrub",15341,"50-50000","Marsh Wren"
"Grassland herbaceous",17380,"50-50000","Marsh Wren"
"Pasture hay",27573,"3108-50000","Marsh Wren"
"Developed low intensity",21457,"1069-47961","Merlin"
"Cultivated crop",19418,"50-50000","Merlin"
"Woody wetland",19418,"50-50000","Merlin"
"Emergent wetland",17380,"50-50000","Merlin"
"Ocean",19418,"50-50000","Merlin"
"Lakes",15341,"50-47961","Merlin"
"Rivers",21457,"50-50000","Merlin"
"Elevation",19418,"50-50000","Merlin"
"Aspect",15341,"1069-47961","Merlin"
"Slope",19418,"50-50000","Merlin"
"Precipitation",20000,"1000-50000","Merlin"
"Developed high intensity",13302,"50-50000","Merlin"
"Max temperature",22000,"1000-50000","Merlin"
"Barren land",21457,"50-50000","Merlin"
"Deciduous forest",17380,"50-50000","Merlin"
"Evergreen forest",17380,"50-50000","Merlin"
"Mixed forest",25535,"3108-47961","Merlin"
"Shrub scrub",19418,"50-50000","Merlin"
"Grassland herbaceous",19418,"50-50000","Merlin"
"Pasture hay",19418,"1069-50000","Merlin"
"Developed low intensity",1069,"1069-1069","Mississippi Kite"
"Cultivated crop",17380,"50-50000","Mississippi Kite"
"Woody wetland",6166,"1069-43884","Mississippi Kite"
"Emergent wetland",15341,"1069-47961","Mississippi Kite"
"Ocean",21457,"50-50000","Mississippi Kite"
"Lakes",13302,"1069-47961","Mississippi Kite"
"Rivers",27573,"7186-50000","Mississippi Kite"
"Elevation",19418,"50-50000","Mississippi Kite"
"Aspect",27573,"1069-50000","Mississippi Kite"
"Slope",25535,"3108-50000","Mississippi Kite"
"Precipitation",22000,"1000-50000","Mississippi Kite"
"Developed high intensity",27573,"50-50000","Mississippi Kite"
"Max temperature",24000,"2000-50000","Mississippi Kite"
"Barren land",17380,"50-50000","Mississippi Kite"
"Deciduous forest",15341,"50-47961","Mississippi Kite"
"Evergreen forest",21457,"1069-50000","Mississippi Kite"
"Mixed forest",27573,"1069-50000","Mississippi Kite"
"Shrub scrub",19418,"50-50000","Mississippi Kite"
"Grassland herbaceous",21457,"5147-47961","Mississippi Kite"
"Pasture hay",10244,"2089-35729","Mississippi Kite"
"Developed low intensity",21457,"1069-47961","Mottled Duck"
"Cultivated crop",19418,"50-50000","Mottled Duck"
"Woody wetland",23496,"1069-47961","Mottled Duck"
"Emergent wetland",11263,"50-50000","Mottled Duck"
"Ocean",31651,"1069-50000","Mottled Duck"
"Lakes",17380,"1069-50000","Mottled Duck"
"Rivers",29612,"1069-50000","Mottled Duck"
"Elevation",23496,"1069-50000","Mottled Duck"
"Aspect",21457,"50-50000","Mottled Duck"
"Slope",15341,"50-47961","Mottled Duck"
"Precipitation",22000,"1000-50000","Mottled Duck"
"Developed high intensity",13302,"1069-47961","Mottled Duck"
"Max temperature",18000,"1000-50000","Mottled Duck"
"Barren land",11263,"1069-50000","Mottled Duck"
"Deciduous forest",21457,"1069-50000","Mottled Duck"
"Evergreen forest",29612,"3108-50000","Mottled Duck"
"Mixed forest",21457,"1069-50000","Mottled Duck"
"Shrub scrub",19418,"1069-50000","Mottled Duck"
"Grassland herbaceous",15341,"50-50000","Mottled Duck"
"Pasture hay",21457,"50-50000","Mottled Duck"
"Developed low intensity",9224,"50-47961","Mountain Bluebird"
"Cultivated crop",23496,"1069-50000","Mountain Bluebird"
"Woody wetland",21457,"1069-50000","Mountain Bluebird"
"Emergent wetland",19418,"2089-47961","Mountain Bluebird"
"Ocean",21457,"50-50000","Mountain Bluebird"
"Lakes",21457,"50-50000","Mountain Bluebird"
"Rivers",23496,"1069-50000","Mountain Bluebird"
"Elevation",9224,"50-45922","Mountain Bluebird"
"Aspect",19418,"1069-50000","Mountain Bluebird"
"Slope",9224,"1069-47961","Mountain Bluebird"
"Precipitation",12000,"1000-48000","Mountain Bluebird"
"Developed high intensity",13302,"1069-47961","Mountain Bluebird"
"Max temperature",11000,"1000-48000","Mountain Bluebird"
"Barren land",19418,"50-50000","Mountain Bluebird"
"Deciduous forest",23496,"50-50000","Mountain Bluebird"
"Evergreen forest",3108,"1069-33690","Mountain Bluebird"
"Mixed forest",25535,"1069-50000","Mountain Bluebird"
"Shrub scrub",1069,"50-4128","Mountain Bluebird"
"Grassland herbaceous",4128,"50-45922","Mountain Bluebird"
"Pasture hay",23496,"1069-50000","Mountain Bluebird"
"Developed low intensity",27573,"7186-50000","Mountain Chickadee"
"Cultivated crop",17380,"50-47961","Mountain Chickadee"
"Woody wetland",27573,"1069-50000","Mountain Chickadee"
"Emergent wetland",17380,"1069-47961","Mountain Chickadee"
"Ocean",23496,"1069-47961","Mountain Chickadee"
"Lakes",23496,"2089-50000","Mountain Chickadee"
"Rivers",37767,"5147-50000","Mountain Chickadee"
"Elevation",1069,"50-4128","Mountain Chickadee"
"Aspect",25535,"50-50000","Mountain Chickadee"
"Slope",5147,"1069-37767","Mountain Chickadee"
"Precipitation",22000,"4000-48000","Mountain Chickadee"
"Developed high intensity",15341,"50-47961","Mountain Chickadee"
"Max temperature",2000,"1000-5000","Mountain Chickadee"
"Barren land",13302,"50-47961","Mountain Chickadee"
"Deciduous forest",39806,"13302-50000","Mountain Chickadee"
"Evergreen forest",1069,"1069-3108","Mountain Chickadee"
"Mixed forest",27573,"2089-50000","Mountain Chickadee"
"Shrub scrub",11263,"50-50000","Mountain Chickadee"
"Grassland herbaceous",9224,"50-47961","Mountain Chickadee"
"Pasture hay",33690,"50-50000","Mountain Chickadee"
"Developed low intensity",13302,"50-47961","Mountain Quail"
"Cultivated crop",19418,"50-50000","Mountain Quail"
"Woody wetland",19418,"50-50000","Mountain Quail"
"Emergent wetland",19418,"50-50000","Mountain Quail"
"Ocean",19418,"50-50000","Mountain Quail"
"Lakes",17380,"1069-50000","Mountain Quail"
"Rivers",21457,"1069-50000","Mountain Quail"
"Elevation",9224,"50-47961","Mountain Quail"
"Aspect",19418,"2089-47961","Mountain Quail"
"Slope",6166,"1069-33690","Mountain Quail"
"Precipitation",24000,"2000-50000","Mountain Quail"
"Developed high intensity",17380,"50-50000","Mountain Quail"
"Max temperature",12000,"1000-48000","Mountain Quail"
"Barren land",21457,"1069-50000","Mountain Quail"
"Deciduous forest",19418,"50-50000","Mountain Quail"
"Evergreen forest",19418,"1069-50000","Mountain Quail"
"Mixed forest",13302,"1069-47961","Mountain Quail"
"Shrub scrub",17380,"50-50000","Mountain Quail"
"Grassland herbaceous",21457,"1069-50000","Mountain Quail"
"Pasture hay",19418,"1069-47961","Mountain Quail"
"Developed low intensity",7186,"50-50000","Mourning Dove"
"Cultivated crop",3108,"1069-6166","Mourning Dove"
"Woody wetland",31651,"6166-50000","Mourning Dove"
"Emergent wetland",25535,"1069-50000","Mourning Dove"
"Ocean",9224,"3108-43884","Mourning Dove"
"Lakes",3108,"1069-13302","Mourning Dove"
"Rivers",21457,"50-50000","Mourning Dove"
"Elevation",6166,"50-35729","Mourning Dove"
"Aspect",15341,"1069-50000","Mourning Dove"
"Slope",5147,"50-13302","Mourning Dove"
"Precipitation",18000,"1000-48000","Mourning Dove"
"Developed high intensity",50,"50-50","Mourning Dove"
"Max temperature",4000,"1000-9000","Mourning Dove"
"Barren land",2089,"50-35729","Mourning Dove"
"Deciduous forest",50,"50-50","Mourning Dove"
"Evergreen forest",47961,"39806-50000","Mourning Dove"
"Mixed forest",8205,"1069-41845","Mourning Dove"
"Shrub scrub",21457,"50-50000","Mourning Dove"
"Grassland herbaceous",7186,"1069-47961","Mourning Dove"
"Pasture hay",3108,"50-10244","Mourning Dove"
"Developed low intensity",9224,"1069-45922","Mourning Warbler"
"Cultivated crop",21457,"1069-50000","Mourning Warbler"
"Woody wetland",33690,"8205-50000","Mourning Warbler"
"Emergent wetland",21457,"1069-50000","Mourning Warbler"
"Ocean",19418,"50-50000","Mourning Warbler"
"Lakes",8205,"50-47961","Mourning Warbler"
"Rivers",23496,"50-50000","Mourning Warbler"
"Elevation",13302,"50-50000","Mourning Warbler"
"Aspect",35729,"1069-50000","Mourning Warbler"
"Slope",15341,"50-50000","Mourning Warbler"
"Precipitation",14000,"1000-48000","Mourning Warbler"
"Developed high intensity",17380,"50-50000","Mourning Warbler"
"Max temperature",18000,"1000-50000","Mourning Warbler"
"Barren land",19418,"1069-50000","Mourning Warbler"
"Deciduous forest",1069,"50-3108","Mourning Warbler"
"Evergreen forest",23496,"1069-50000","Mourning Warbler"
"Mixed forest",31651,"2089-50000","Mourning Warbler"
"Shrub scrub",25535,"50-50000","Mourning Warbler"
"Grassland herbaceous",19418,"50-50000","Mourning Warbler"
"Pasture hay",17380,"50-50000","Mourning Warbler"
"Developed low intensity",15341,"50-47961","Mute Swan"
"Cultivated crop",17380,"50-50000","Mute Swan"
"Woody wetland",17380,"50-50000","Mute Swan"
"Emergent wetland",15341,"50-50000","Mute Swan"
"Ocean",29612,"50-50000","Mute Swan"
"Lakes",50,"50-50","Mute Swan"
"Rivers",9224,"50-45922","Mute Swan"
"Elevation",17380,"50-50000","Mute Swan"
"Aspect",9224,"1069-45922","Mute Swan"
"Slope",17380,"1069-50000","Mute Swan"
"Precipitation",20000,"1000-50000","Mute Swan"
"Developed high intensity",13302,"50-47961","Mute Swan"
"Max temperature",22000,"1000-50000","Mute Swan"
"Barren land",21457,"50-50000","Mute Swan"
"Deciduous forest",19418,"50-50000","Mute Swan"
"Evergreen forest",17380,"50-50000","Mute Swan"
"Mixed forest",19418,"1069-50000","Mute Swan"
"Shrub scrub",23496,"50-50000","Mute Swan"
"Grassland herbaceous",19418,"50-50000","Mute Swan"
"Pasture hay",19418,"50-50000","Mute Swan"
"Developed low intensity",6166,"1069-47961","Nashville Warbler"
"Cultivated crop",3108,"1069-11263","Nashville Warbler"
"Woody wetland",6166,"1069-25535","Nashville Warbler"
"Emergent wetland",25535,"1069-50000","Nashville Warbler"
"Ocean",15341,"1069-47961","Nashville Warbler"
"Lakes",1069,"1069-1069","Nashville Warbler"
"Rivers",17380,"50-50000","Nashville Warbler"
